"","id","created_time","snippet","headline","news_desk","company_name"
"51",1,"2008-06-18T18:30:11+0000","The characters on “Family Guy” suddenly seem to be the darlings of Madison Avenue.","Advertising With The ‘Family Guy’","Media","Coca-Cola"
"52",2,"2008-12-16T16:43:16+0000","The 30-day pilot program covers some subway windows on A train cars with red Coca-Cola signs. Transit officials say the ads deter scratched graffiti.","Subway Window Ads Alarm Some Riders","Metro","Coca-Cola"
"53",3,"2008-07-16T14:19:20+0000","Two organizations seek the glow of Budweiser and Coca Cola.","Enlisting U.S. Brand Power in Belgium","","Coca-Cola"
"54",4,"2008-07-30T04:00:00+0000","The Federal Trade Commission issued a report detailing the pervasiveness of food marketing to children, and a coalition of food companies responded with its own report arguing they had made progress on the issue.","Tug of War in Food Marketing to Children","Business","Coca-Cola"
"55",5,"2008-02-14T18:13:17+0000","","30 Seconds Cost a Lot, but the Memories May Be Priceless","Media","Coca-Cola"
"56",6,"2008-11-20T14:09:35+0000","","K.K.R. Hires European Communications Officer","Business","Coca-Cola"
"57",7,"2008-01-11T04:29:52+0000","","Have $2.7 Million? Buy The Last Super Bowl Ad","Media","Coca-Cola"
"58",8,"2008-08-19T05:00:00+0000","","Sponsors feel Liu Xiang's pain","IHT News","Coca-Cola"
"59",9,"2008-08-18T18:03:27+0000","When China’s star hurdler, Liu Xiang, limped off the field late Monday morning, it dealt a blow to the marketing plans of some marquee brands.","Olympic Star Is Sidelined. Will His Ads Be, as Well?","Business","Coca-Cola"
"60",10,"2008-06-17T04:00:00+0000","The City Council has banned bottled water from its offices and events, and the city has started a pilot program with water coolers that use filtered tap water.","City Council Shuns Bottles in Favor of Water From Tap","Metro","Coca-Cola"
"61",1,"2008-02-13T12:16:36+0000","","Alpha Mom Sells Stake to Fahrenheit 212","Business","Coca-Cola"
"62",2,"2008-03-20T05:00:00+0000","","Advertising boycott of Olympics unlikely","IHT News","Coca-Cola"
"63",3,"2008-03-28T05:00:00+0000","","Sponsors of Olympic torch caught in Tibet protests","IHT News","Coca-Cola"
"64",4,"2008-05-14T05:00:00+0000","","Olympic organizers say they will ""simplify"" torch relay in aftermath of earthquake","IHT News","Coca-Cola"
"65",5,"2008-06-18T05:00:00+0000","","Crude? So what? These characters still find work in ads","IHT News","Coca-Cola"
"66",6,"2008-05-02T05:00:00+0000","","Hong Kong greets Olympic torch with cheers and controlled protest","IHT News","Coca-Cola"
"67",7,"2008-10-12T23:37:03+0000","Economic events for the week of Oct. 13, 2008.","Looking Ahead","Business","Coca-Cola"
"68",8,"2008-04-25T05:00:00+0000","","Olympic sponsors are starting to fire back at activists","IHT News","Coca-Cola"
"69",9,"2008-04-25T04:00:00+0000","After taking criticism from activist groups over the last few months, some Olympic sponsors are starting to criticize right back.","Companies Return Criticism From Darfur Group","Business","Coca-Cola"
"70",10,"2008-06-18T00:00:44+0000","","Win Games, Eat Ice Cream","","Coca-Cola"
"71",1,"2008-09-09T18:05:49+0000","","Out of a Job? Yes, Siam.","","Coca-Cola"
"72",2,"2008-02-16T05:00:00+0000","New York City’s new rules for menu labels at chain restaurants have set off a food fight among the nation’s obesity experts.","Conflict on the Menu","Business","Coca-Cola"
"73",3,"2008-11-06T12:11:38+0000","","Molson Coors Takes Interest In Foster’s","Business","Coca-Cola"
"74",4,"2008-09-11T16:45:26+0000","On the campaign trail in Virginia, Senator Obama ran across Don Garlits, the drag racing pioneer.","Obama and the Big Daddy","","Coca-Cola"
"75",5,"2008-04-08T04:00:00+0000","Grady Memorial Hospital in Atlanta will receive $200 million from a private foundation with ties to Coca-Cola, hospital officials said.","Charity Hospital, on Brink, Gets a $200 Million Gift","National","Coca-Cola"
"76",6,"2008-09-25T01:18:45+0000","Al Gore’s usual fired-up remarks on global warming took a step into the Gandhian realm when he said it was time for civil disobedience.","Gore’s Call to Action","National","Coca-Cola"
"77",7,"2008-05-25T04:00:00+0000","Rising energy costs and further declines in the troubled housing market led to steep losses in stocks last week.","Dow Falls 507 Points as Oil Prices Soar","SundayBusiness","Coca-Cola"
"78",8,"2008-10-06T05:00:00+0000","","Another suitor for Foster's?","IHT News","Coca-Cola"
"79",9,"2008-07-22T05:00:00+0000","","Oil falls, lending support to U.S. equities","IHT News","Coca-Cola"
"80",10,"2008-07-09T11:48:54+0000","","Sun Valley Diary: A Peek at the Agenda","","Coca-Cola"
"81",1,"2008-09-25T01:18:45+0000","Al Gore’s usual fired-up remarks on global warming took a step into the Gandhian realm when he said it was time for civil disobedience.","Gore’s Call to Action","National","Coca-Cola"
"82",2,"2008-05-25T04:00:00+0000","Rising energy costs and further declines in the troubled housing market led to steep losses in stocks last week.","Dow Falls 507 Points as Oil Prices Soar","SundayBusiness","Coca-Cola"
"83",3,"2008-04-20T04:00:00+0000","Wall Street banks took further multibillion-dollar write-downs last week.","Earnings Led Rally Despite Write-Downs","SundayBusiness","Coca-Cola"
"84",4,"2008-02-05T05:00:00+0000","The Internet, digital video recorders, mobile devices and other technologies are giving a strong postgame presence to the annual roster of Super Bowl commercials.","For Marketing, the Most Valuable Player Might Be YouTube","Business","Coca-Cola"
"85",5,"2008-05-28T04:00:00+0000","Ratings were low all around for prime-time television over the Memorial Day holiday, as repeats on CBS ranked first on Monday, and Nascar coverage lifted Fox to No. 1 on Sunday. Opposite mostly low-rated repeats, Fox’s live broadcast of the annual...","Nascar Wins Ratings","Culture","Coca-Cola"
"86",6,"2008-04-03T11:08:02+0000","","Catterton Swallows Stake in Sweet Leaf","Business","Coca-Cola"
"87",7,"2008-05-27T05:00:00+0000","","InBev bid for Anheuser-Busch will be felt in Mexico","IHT News","Coca-Cola"
"88",8,"2008-10-13T05:00:00+0000","","Venezuela shuts McDonald's outlets","IHT News","Coca-Cola"
"89",9,"2008-04-05T04:00:00+0000","As she meted out her late set, sitting in a chair as she sang blues, ballads and jazz standards, Ernestine Anderson stayed pretty reserved.","Still Shouting (When She Chooses To)","Culture","Coca-Cola"
"90",10,"2008-09-25T01:18:45+0000","Al Gore’s usual fired-up remarks on global warming took a step into the Gandhian realm when he said it was time for civil disobedience.","Gore's Call to Action","None","Coca-Cola"
"91",1,"2008-12-28T23:41:41+0000","In 2008, the best-laid marketing plans of mice and men — or “Mad Men” with mice — proved no match for a historic presidential race and an enormous financial crisis.","Best and Worst Ads: A Year the News Eclipsed Commercial Breaks","Business","Coca-Cola"
"92",2,"2008-08-11T22:26:31+0000","There is almost a template for commercials that appear during coverage of the Olympics. So it comes as something of a surprise that the commercial being run by the John McCain presidential campaign during the Summer Olympics is a negative one.","In Olympic Ads, Obama Inspires While McCain Attacks","Media","Coca-Cola"
"93",3,"2008-05-27T04:00:00+0000","After winning seven races at Lowe’s Motor Speedway from 2003 through 2006, Jimmie Johnson has become beatable at the North Carolina racetrack.","Struggling, Jimmie Johnson Can Thank Sponsor","Sports","Coca-Cola"
"94",4,"2008-02-05T05:00:00+0000","The Internet, digital video recorders, mobile devices and other technologies are giving a strong postgame presence to the annual roster of Super Bowl commercials.","For Marketing, the Most Valuable Player Might Be YouTube","Business","Coca-Cola"
"95",5,"2008-07-14T04:00:00+0000","The week’s major economic reports include the Producer Price Index for June, business inventories for May, and housing starts for June.","The Week’s Major Economic Reports","Business","Coca-Cola"
"96",6,"2008-04-10T21:42:50+0000","Protesters armed with cellphones may have made it harder for city officials in San Francisco to protect the Olympic torch.","Using Tech to Track the Torch","Business","Coca-Cola"
"97",7,"2008-05-02T05:00:00+0000","","Hong Kong greets Olympic torch with cheers and controlled protest","IHT News","Coca-Cola"
"98",8,"2008-03-14T04:00:00+0000","Pepsi-Cola North America is bringing out a line of no-calorie, carbonated beverages with a campaign that is bypassing mainstay media like television and print.","For a New Brand, Pepsi Starts the Buzz Online","Business","Coca-Cola"
"99",9,"2008-06-23T10:56:56+0000","","Bunge to Acquire Corn Products for $4.4 Billion","Business","Coca-Cola"
"100",10,"2008-02-11T05:00:00+0000","A look at some of this week’s major business events coming this week.","This Week’s Major Business Events","Business","Coca-Cola"
"101",1,"2008-11-18T07:24:40+0000","The Australian brewer Lion Nathan made a hostile bid of 7.6 billion Australian dollars ($4.91 billion), for the soft drinks distributor Coca-Cola Amatil.","Australia: Hostile Bid Made for Coca-Cola Unit","Business","Coca-Cola"
"102",2,"2008-11-19T01:38:58+0000","Port Morris in the South Bronx is one of the few industrial areas of New York City that are flourishing.","An Island of Industry","Business","Coca-Cola"
"103",3,"2008-09-23T22:06:36+0000","TerraCycle makes tote bags, pencil cases and other products from juice boxes and candy wrappers, then sells them at some of the country’s biggest retailers.","Kept Out of Landfills and Reborn as a Bag","SpecialSections","Coca-Cola"
"104",4,"2008-09-13T00:14:40+0000","The recent agreement to pay $2.5 billion for China Huiyuan Juice chisels away at Coke’s dependence on carbonated drinks and expands the company’s presence in a huge, fast-growing economy.","China Deal Draws Praise for Coke","Business","Coca-Cola"
"105",5,"2008-09-03T07:15:23+0000","The Coca-Cola Company said it had made a bid to acquire one of China’s largest juice makers for about $2.5 billion.","Coke Bids for Chinese Juice Giant","Business","Coca-Cola"
"106",6,"2008-08-31T21:35:45+0000","Changes in a loyalty program for Coke drinkers has upset some collectors of bottle-cap codes.","Is a Coke Promotion Betraying Its Loyalists?","Business","Coca-Cola"
"107",7,"2008-08-23T01:42:17+0000","Coca-Cola looks back at the glory of winning Olympic gold.","Coke and Winning Olympic Gold","","Coca-Cola"
"108",8,"2008-09-03T16:05:14+0000","At least initially, the stock market seemed less than impressed with Coca-Cola's $2.4 billion acquisition of the Chinese juice maker Huiyuan. In late-morning trading Wednesday, shares of the Atlanta-based drink maker were down slightly. But while ...","Coca-Cola’s Coup in China","None","Coca-Cola"
"109",9,"2008-09-03T16:05:14+0000","","Coca-Cola’s Coup in China","Business","Coca-Cola"
"110",10,"2008-08-11T21:30:23+0000","Even for alumni, the ability to cash in on one’s former fame comes only once every four years, because corporate sponsors prefer to work with athletes when their signature sports are in the news.","For Retired Olympians, Marketing Is the Game","Business","Coca-Cola"
"111",1,"2008-08-06T20:26:58+0000","For more than a century, Coke has fiercely guarded its recipe. But in an advertising campaign introduced last month in Britain, the company divulged a few facts.","Campaign Reveals Just a Little Bit of Coke’s Secret Formula","Business","Coca-Cola"
