"","id","created_time","snippet","headline","news_desk","company_name"
"3158",8,"2017-02-15T16:10:53+0000","The defense secretary said the United States could “moderate its commitment” to NATO if members did not increase military spending.","Defense Secretary Mattis Tells NATO Allies to Spend More, or Else","Foreign","American Express"
"3159",9,"2017-05-25T21:07:10+0000","From the changing demographics of the No. 7 train to the ruins of Jewish resorts in the Catskills, new publications reveal the metropolitan area.","Guides for Exploring New York","Metropolitan","American Express"
"3160",10,"2017-01-31T16:00:57+0000","The American ambassador to the nation countered President Rodrigo Duterte’s accusation, saying there was never a plan to build any depots there.","U.S. Isn’t Building Arms Depot in the Philippines, Envoy Says","Foreign","American Express"
"3161",1,"2017-11-03T16:00:16+0000","Graduate programs in STEM have the highest percentage of international students of any broad academic field. Why don’t the locals bother?","The Disappearing American Grad Student","EdLife","American Express"
"3162",2,"2017-03-08T21:06:50+0000","At the company’s shareholder meeting, Robert A. Iger told those who want him to quit the president’s business policy forum that he was using it to share his values with Mr. Trump.","Disney Chief: My Role on a Trump Panel Is ‘Not an Endorsement’","Business","American Express"
"3163",3,"2017-11-04T10:00:30+0000","At a nightclub in Liberia, the photographer Yagazie Emezi found a stylish music scene unencumbered by the country’s past.","The Ease of Monrovia’s ‘Hipco’ Clubs","Styles","American Express"
"3164",4,"2017-05-25T21:07:10+0000","From the changing demographics of the No. 7 train to the ruins of Jewish resorts in the Catskills, new publications reveal the metropolitan area.","Guides for Exploring New York","Metropolitan","American Express"
"3165",5,"2017-08-31T16:53:53+0000","The order to close the consulate and two diplomatic annexes, in New York and Washington, was expected since Russia told the United States to cut its diplomatic staff there.","In Retaliation, U.S. Orders Russia to Close Consulate in San Francisco","Washington","American Express"
"3166",6,"2017-04-13T14:32:19+0000","The deaths were the third instance in a month of American-led airstrikes possibly killing civilians or allies in the fight against the Islamic State.","18 Syrian Fighters Allied With U.S. Are Killed in Coalition Airstrike","Foreign","American Express"
"3167",7,"2017-08-05T10:54:03+0000","The order said Huang Jing had tried to influence Singapore’s foreign policy on behalf of an unnamed foreign government.","Singapore Orders Expulsion of American Academic","Foreign","American Express"
"3168",8,"2017-01-30T01:52:56+0000","Iraqi officials were taken aback by the executive order, which they learned about through the American news media because they had not been consulted first.","Trump’s Immigration Order Jolts Iraqis, U.S.’s Top Allies Against ISIS","National","American Express"
"3169",9,"2017-09-04T19:16:57+0000","Killer clowns provide some mayhem, but this season, titled “Cult,” finds its terror in the fear and anger of a fragmented citizenry.","‘American Horror Story’ Sets Scares in Postelection America","Business","American Express"
"3170",10,"2017-06-27T11:00:03+0000","Her first acquisition, by the debut novelist Fatima Farheen Mirza, follows an Indian-American family.","Sarah Jessica Parker Reveals First Book Acquisition, and Her A.L.A. Book Club Pick","BookReview","American Express"
"3171",1,"2017-02-07T14:04:18+0000","Cries of “Long live the United States! Long live Wilson!” and a standing ovation greeted the entrance of the American ambassador to watch a matinée at the Opéra-Comique.","1917: Audience Hails U.S. at ‘Madama Butterfly’ in Paris","Foreign","American Express"
"3172",2,"2017-05-03T13:23:09+0000","Monday marked the first time a black woman has ever served as American University’s student government president. That same day, the bananas appeared.","F.B.I. Helping American University Investigate Bananas Found Hanging From Nooses","National","American Express"
"3173",3,"2017-11-30T20:23:03+0000","Responding to an order by a judge, the Justice Department conceded that an American held in military custody for more than two months had asked for a lawyer.","American Detained by Military Wants a Lawyer, Government Acknowledges","Washington","American Express"
"3174",4,"2017-04-10T17:39:35+0000","Two people ate salad from a container before discovering the remains of the bat inside, officials said, adding that the occurrence was rare.","Dead Bat Found Inside Package of Salad in Florida, Officials Say","Business","American Express"
"3175",5,"2017-12-12T10:45:25+0000","The determination and perseverance that have made Chinese students winners at home can deepen their sense of frustration abroad.","Chinese, Studying in America, and Struggling","OpEd","American Express"
"3176",6,"2017-09-05T23:40:31+0000","The president has expressed conflicting emotions about those who were brought to the country as children, but Attorney General Jeff Sessions expressed no such qualms.","Trump Chooses Sessions, Longtime Foe of DACA, to Announce Its Demise","National","American Express"
"3177",7,"2017-11-30T20:47:59+0000","The Pentagon has received permission to put precision-guided bombs and missiles on drones in Niger. The drones would increase the military’s ability to go after extremists in West Africa.","Niger Approves Armed U.S. Drone Flights, Expanding Pentagon’s Role in Africa","Washington","American Express"
"3178",8,"2017-07-27T00:58:38+0000","Anger erupted at the president after his move to bar transgender people from the military, with many citing his supportive words for L.G.B.T. people last year.","Furious Gay Rights Advocates See Trump’s ‘True Colors’","National","American Express"
