"","id","created_time","snippet","headline","news_desk","company_name"
"2157",7,"2014-05-11T21:54:12+0000","Scenes from the concert at the Prudential Center in Newark.","McDonald’s Gospelfest",NA,"McDonald's"
"2158",8,"2014-02-09T05:15:06+0000","The bride is a doctor at Memorial Sloan-Kettering Cancer Center; the groom is a litigation associate at Williams & Connolly in Washington.","Maria Carlo and James McDonald","Society","McDonald's"
"2159",9,"2014-01-22T02:52:04+0000","While some violated new rules limiting the time a group of elderly Korean patrons can spend at a McDonald’s in Queens, the limits were not enforced on Tuesday.","Hitches in Compromise at a McDonald’s","Metro","McDonald's"
"2160",10,"2014-06-02T06:07:22+0000","Six people from a group known as the Church of the Almighty God were arrested in the killing of a woman at a McDonald’s restaurant in eastern china, but a cellphone video of the attack raised questions about whether witnesses should have intervene...","Anger in China After McDonald’s Patron Beaten to Death","Foreign","McDonald's"
"2161",1,"2014-01-23T19:02:12+0000","McDonald's quarterly sales fell in what its CEO termed a ""challenging year"" and business doesn't look any better this month. Fred Katayama reports.","McDonald's ""challenging year""","","McDonald's"
"2162",2,"2014-01-23T17:32:14+0000","McDonald's quarterly sales fell in what its CEO termed a ""challenging year"" and business doesn't look any better this month. Fred Katayama reports.","McDonald's ""challenging year""","","McDonald's"
"2163",3,"2014-06-22T04:15:07+0000","The bride is a quality improvement director at a subsidiary of Cigna. The groom will work as an investment associate.","Caroline Wilson, Ryan McDonald","Society","McDonald's"
"2164",4,"2014-01-21T03:12:20+0000","A group of older Koreans, who the restaurant in Flushing said spent too much time seated there, can now stay there for as long as they want, except from 11 a.m. to 3 p.m.","Elderly Patrons End Dispute With a McDonald’s in Queens","Metro","McDonald's"
"2165",5,"2014-01-17T01:32:13+0000","Many in the Korean-American community in Queens voiced outrage that the restaurant had appeared to disrespect several older Korean people who treat a neighborhood branch like their living room.","Korean Community Leaders Urge McDonald’s Boycott","Metro","McDonald's"
"2166",6,"2014-04-04T17:43:01+0000","Fast good giant McDonald's closes three restaurants in Crimea citing ""manufacturing reasons,"" offers employees work at locations in Ukraine. Mana Rabiee reports.","McDonald's closes shop in Crimea","","McDonald's"
"2167",7,"2014-09-09T14:35:57+0000","McDonald's comparable sales in August fell in every region around the world and the company says the food safety issue in China will hurt third quarter results. Fred Katayama reports.","McDonald's: They just aren't lovin' it","","McDonald's"
"2168",8,"2014-03-10T15:12:59+0000","McDonald's blames bad weather and competition for its fourth straight monthly fall in U.S. same-store sales. Fred Katayama reports.","McDonald's February sales fall","","McDonald's"
"2169",9,"2014-04-04T17:43:51+0000","Fast good giant McDonald's closes three restaurants in Crimea citing ""manufacturing reasons,"" offers employees work at locations in Ukraine. Mana Rabiee reports.","McDonald's closes shop in Crimea","","McDonald's"
"2170",10,"2014-02-25T18:00:28+0000","The five-time Tony Award winner Audra McDonald will star in the musical play “Lady Day at Emerson’s Bar & Grill.”","Audra McDonald to Return to Broadway as Billie Holiday","Culture","McDonald's"
"2171",1,"2014-02-25T18:00:28+0000","The five-time Tony Award winner Audra McDonald will star in the musical play “Lady Day at Emerson’s Bar & Grill.”","Audra McDonald to Return to Broadway as Billie Holiday","Culture","McDonald's"
"2172",2,"2014-08-17T21:46:50+0000","Scenes from the break dancing competition.","McDonald’s B-Boy Royale",NA,"McDonald's"
"2173",3,"2014-07-21T15:17:17+0000","Another food safety scare has hit Yum Brands and McDonald's in China. The news comes one day before McDonald's reports its earnings. Fred Katayama reports.","Yum, McDonald's China food scare","","McDonald's"
"2174",4,"2014-08-18T02:24:12+0000","Scenes from the break dancing competition.","McDonald’s B-Boy Royale","Arts","McDonald's"
